clusterName,onTarget
Inh L1-2 PAX6 CDH12,0.20640588147533756
Inh L1-2 PAX6 TNFAIP8L3,0.770144263213003
Inh L1 LAMP5 NMBR,0.3815703361981745
Inh L1-4 LAMP5 LCP2,0.17711393622434277
Inh L1-2 LAMP5 DBP,0.2318365150003452
Inh L2-6 LAMP5 CA1,0.6105180035590905
Inh L1 SST CHRNA4,0.17299795581477456
Inh L1-2 ADARB2 MC4R,0.32932369332369776
Inh L1-2 SST BAGE2,0.5779229995227202
Inh L1-3 VIP SYT6,0.6153973791176923
Inh L1-2 VIP TSPAN12,0.10893141747548486
Inh L1-4 VIP CHRNA6,0.22144021447101558
Inh L1-3 VIP ADAMTSL1,0.25029585853592184
Inh L1-4 VIP PENK,0.793603205037273
Inh L2-6 VIP QPCT,0.23804445950895803
Inh L3-6 VIP HS3ST3A1,0.2563272615852643
Inh L1-2 VIP PCDH20,0.12340262243402646
Inh L2-5 VIP SERPINF1,0.4609754598329874
Inh L2-5 VIP TYR,0.14880192555809996
Inh L1-3 VIP CHRM2,0.2682906382991328
Inh L2-4 VIP CBLN1,0.25491228985606806
Inh L1-3 VIP CCDC184,0.3613951366992729
Inh L1-3 VIP GGH,0.5355986064997855
Inh L1-2 VIP LBH,0.26614353566018917
Inh L2-3 VIP CASC6,0.40122032139160513
Inh L2-4 VIP SPAG17,0.5185988256143181
Inh L1-4 VIP OPRM1,0.21987013833629937
Inh L3-6 SST NPY,0.815220367010937
Inh L3-6 SST HPGD,0.59758282332294
Inh L4-6 SST B3GAT2,0.3642767107046727
Inh L5-6 SST KLHDC8A,0.12416644216480063
Inh L5-6 SST NPM1P10,0.2612361715209345
Inh L4-6 SST GXYLT2,0.4417413765622411
Inh L4-5 SST STK32A,0.3600303070616357
Inh L1-3 SST CALB1,0.11504444307537254
Inh L3-5 SST ADGRG6,0.3683813323273032
Inh L2-4 SST FRZB,0.13796480155823337
Inh L5-6 SST TH,1.0
Inh L5-6 LHX6 GLP1R,0.3893243424589769
Inh L5-6 PVALB LGR5,0.5285905405375292
Inh L4-5 PVALB MEPE,0.2112746682013582
Inh L2-4 PVALB WFDC2,0.2412723914433738
Inh L4-6 PVALB SULF1,0.2164530294923626
Inh L5-6 SST MIR548F2,0.5272917833116801
Inh L2-5 PVALB SCUBE3,0.961840855987546
Exc L2 LAMP5 LTK,0.6456026370700344
Exc L2-4 LINC00507 GLP2R,0.1292921485226431
Exc L2-3 LINC00507 FREM3,0.22297069991627175
Exc L5-6 THEMIS C1QL3,0.15455940755520406
Exc L3-4 RORB CARM1P1,0.5209460202697704
Exc L3-5 RORB ESR1,0.3827706028517286
Exc L3-5 RORB COL22A1,0.5783204918209024
Exc L3-5 RORB FILIP1L,0.18938756297596024
Exc L3-5 RORB TWIST2,0.3851381320294752
Exc L4-5 RORB FOLH1B,0.3154646212217312
Exc L4-6 RORB SEMA3E,0.3813150623304735
Exc L4-5 RORB DAPK2,0.6709678410802108
Exc L5-6 RORB TTC12,0.3921369184690832
Exc L4-6 RORB C1R,0.22294683215559233
Exc L4-5 FEZF2 SCN4B,0.8926960579716042
Exc L5-6 THEMIS DCSTAMP,0.5901505555248291
Exc L5-6 THEMIS CRABP1,0.5752337171756299
Exc L5-6 THEMIS FGF10,0.5570235244532483
Exc L4-6 FEZF2 IL26,1.0
Exc L5-6 FEZF2 ABO,0.12799426394899005
Exc L6 FEZF2 SCUBE1,0.782370313642426
Exc L5-6 FEZF2 IL15,0.3156498268682718
Exc L6 FEZF2 OR2T8,0.7569824332866962
Exc L5-6 FEZF2 EFTUD1P1,0.3956156070179685
OPC L1-6 PDGFRA,0.8381190012382117
Astro L1-6 FGFR3 SLC14A1,0.5395015808602628
Astro L1-2 FGFR3 GFAP,1.0
Oligo L1-6 OPALIN,0.993114042225334
Endo L2-6 NOSTRIN,1.0
Micro L1-6 TYROBP,0.9994764101144188
