clusterName,onTarget
BMYO1,1.0
BMYO2,0.27051198
B_mem_switched,0.66516316
B_mem_unswitched,0.27178353
B_naive,0.85188216
CD4_Th,0.23820317
CD4_naive,0.14043537
CD8_Tc1,0.14195894
CD8_Tem,0.3060976
CD8_Trm,0.520409
DC,0.7686496
DDC1,0.4992705
DDC2,0.5019185
FB1,0.79002166
FB2,0.73184067
FB3,0.6650394
FB4,0.46023777
ILC,0.76761115
LASP1,0.5902968
LASP2,0.51276225
LASP3,0.44808966
LASP4,0.7218801
LASP5,1.0
LE1,0.70059896
LE2,1.0
LHS1,0.81345767
LHS2,0.78630793
LHS3,0.69233775
Macro,0.7225765
Macro-lipo,0.8835788
NK,0.8641271
NKT,1.0
PV1,0.48298362
PV2,0.66456735
PV3,1.0
PV4,0.4540919
PV5,0.5060271
Plasma_cell,1.0
VEA,0.7867305
VEAT,1.0
VEC,0.57948214
VEV,1.0
