clusterName,markerGene,onTarget_per_gene,onTarget
B cells,ENSG00000156738,1.0,1.0
B cells,ENSG00000153064,1.0,1.0
CD4 T cells,ENSG00000111678,0.56250644,0.26929802
CD4 T cells,ENSG00000168685,0.26929802,0.26929802
CD4 T cells,ENSG00000111716,0.2014953,0.26929802
CD16+ NK cells,ENSG00000137441,0.56635875,0.34291694
CD16+ NK cells,ENSG00000100453,0.33805287,0.34291694
CD16+ NK cells,ENSG00000150045,0.34291694,0.34291694
CD16- NK cells,ENSG00000143184,1.0,0.78473175
CD16- NK cells,ENSG00000100385,0.56946343,0.78473175
Central venous LSECs,ENSG00000136011,1.0,1.0
Central venous LSECs,ENSG00000145708,1.0,1.0
Cholangiocytes,ENSG00000122870,1.0,1.0
Cholangiocytes,ENSG00000146038,1.0,1.0
Classical monocytes,ENSG00000038427,1.0,1.0
Classical monocytes,ENSG00000163221,1.0,1.0
DC1,ENSG00000197992,1.0,1.0
DC1,ENSG00000128815,1.0,1.0
DC2,ENSG00000158481,1.0,0.5629248
DC2,ENSG00000149269,0.5629248,0.5629248
DC2,ENSG00000180817,0.2664747,0.5629248
Fibroblasts,ENSG00000185053,1.0,1.0
Fibroblasts,ENSG00000148655,1.0,1.0
Immune mix,ENSG00000229314,0.3178195,0.3178195
Inflammatory macrophages,ENSG00000143226,1.0,0.71106845
Inflammatory macrophages,ENSG00000173372,0.42213693,0.71106845
Interzonal hepatocytes,ENSG00000084110,1.0,1.0
Interzonal hepatocytes,ENSG00000099937,1.0,1.0
Interzonal hepatocytes,ENSG00000113905,1.0,1.0
Interzonal hepatocytes,ENSG00000132693,0.71773857,1.0
Interzonal hepatocytes,ENSG00000145192,0.61032885,1.0
MAIT cells,ENSG00000185697,1.0,1.0
MAIT cells,ENSG00000107742,1.0,1.0
MAIT cells,ENSG00000113088,0.29737705,1.0
Macrophages,ENSG00000248905,1.0,1.0
Migratory DCs,ENSG00000172724,1.0,1.0
Migratory DCs,ENSG00000075618,1.0,1.0
NK cells,ENSG00000161405,1.0,1.0
NK cells,ENSG00000173212,1.0,1.0
NK cells,ENSG00000185885,0.5612211,1.0
Neutrophils,ENSG00000162747,1.0,1.0
Non-classical monocytes,ENSG00000085265,0.48526266,0.31076667
Non-classical monocytes,ENSG00000203747,0.31076667,0.31076667
Non-classical monocytes,ENSG00000166927,0.23474708,0.31076667
Non-inflammatory macrophages,ENSG00000073754,1.0,1.0
Non-inflammatory macrophages,ENSG00000019169,1.0,1.0
Pericentral hepatocytes,ENSG00000160868,0.78763264,0.6753841
Pericentral hepatocytes,ENSG00000007933,0.6753841,0.6753841
Pericentral hepatocytes,ENSG00000108924,0.6622796,0.6753841
Periportal LSECs,ENSG00000111341,1.0,1.0
Periportal LSECs,ENSG00000152583,1.0,1.0
Periportal hepatocytes,ENSG00000229314,0.31350562,0.31350562
Plasma cells,ENSG00000048462,1.0,1.0
Plasma cells,ENSG00000110777,1.0,1.0
Portal endothelial cells,ENSG00000146374,1.0,1.0
Portal endothelial cells,ENSG00000241644,1.0,1.0
Stellate cells,ENSG00000249669,1.0,1.0
Stellate cells,ENSG00000235904,1.0,1.0
Tem/Temra cytotoxic T cells,ENSG00000137441,0.43364123,0.42759773
Tem/Temra cytotoxic T cells,ENSG00000100450,0.42759773,0.42759773
Tem/Temra cytotoxic T cells,ENSG00000167286,0.25258613,0.42759773
Tem/Trm cytotoxic T cells,ENSG00000113088,0.38251725,0.27028677
Tem/Trm cytotoxic T cells,ENSG00000100450,0.25694364,0.27028677
Tem/Trm cytotoxic T cells,ENSG00000167286,0.27028677,0.27028677
pDC,ENSG00000166428,1.0,1.0
pDC,ENSG00000166963,1.0,1.0
